eom,target_month,mask,loss,baseline_loss,delta_abs,delta_rel,importance,rank
2014-01-31,2014-02-28,Quality,2.963083555424277,2.933510433363516,0.029573122060761126,0.010081137508296863,0.3683744736035093,1.0
2014-01-31,2014-02-28,LowLeverage,2.9560491902462736,2.933510433363516,0.02253875688275775,0.007683203245646948,0.28075164621796006,2.0
2014-01-31,2014-02-28,LowRisk,2.945197955091635,2.933510433363516,0.011687521728119155,0.003984141864707272,0.14558438082660327,3.0
2014-01-31,2014-02-28,ProfitGrowth,2.942069727127851,2.933510433363516,0.008559293764335063,0.0029177648959377023,0.10661793936996243,4.0
2014-01-31,2014-02-28,DebtIssuance,2.9378742634023256,2.933510433363516,0.004363830038809802,0.0014875795187836794,0.05435758829043866,5.0
2014-01-31,2014-02-28,Investment,2.9370679613350146,2.933510433363516,0.003557527971498775,0.0012127204086401597,0.04431397169152633,6.0
2014-01-31,2014-02-28,Accruals,2.9323493427294856,2.933510433363516,-0.0011610906340302485,-0.00039580245593296245,0.0,7.0
2014-01-31,2014-02-28,Momentum,2.924676118114552,2.933510433363516,-0.008834315248963609,-0.003011516559985207,0.0,8.0
2014-01-31,2014-02-28,Profitability,2.9182331687849854,2.933510433363516,-0.015277264578530403,-0.005207843955412061,0.0,9.0
2014-01-31,2014-02-28,Seasonality,2.930487332462613,2.933510433363516,-0.003023100900902964,-0.001030540360968386,0.0,10.0
2014-01-31,2014-02-28,ShortTermReversal,2.9191301490283257,2.933510433363516,-0.014380284335190119,-0.00490207369697401,0.0,11.0
2014-01-31,2014-02-28,Size,2.9140968294397074,2.933510433363516,-0.01941360392380842,-0.0066178745106930115,0.0,12.0
2014-01-31,2014-02-28,Value,2.8643516740054262,2.933510433363516,-0.06915875935808957,-0.023575426414554543,0.0,13.0
2014-01-31,2014-02-28,ALL,2.933510433363516,2.933510433363516,0.0,0.0,0.0,
2014-02-28,2014-03-31,LowRisk,2.9939619372050688,2.94812280799049,0.045839129214578556,0.015548581996088414,0.3765907488334987,1.0
2014-02-28,2014-03-31,Quality,2.9832573085821386,2.94812280799049,0.035134500591648354,0.011917583791428573,0.2886470165208069,2.0
2014-02-28,2014-03-31,LowLeverage,2.9681362295539797,2.94812280799049,0.02001342156348951,0.006788530487687223,0.1644199953719452,3.0
2014-02-28,2014-03-31,ProfitGrowth,2.958567195517605,2.94812280799049,0.010444387527114962,0.003542724712419325,0.08580572509419647,4.0
2014-02-28,2014-03-31,Value,2.9545067020501534,2.94812280799049,0.00638389405966322,0.0021654098134448584,0.05244679568733381,5.0
2014-02-28,2014-03-31,DebtIssuance,2.9499805855585017,2.94812280799049,0.0018577775680115316,0.000630156098984844,0.015262546594821284,6.0
