cap_group,mask,loss,baseline_loss,delta_abs,delta_rel,importance,rank
ALL,Value,3.384475026551314,3.2686752856619954,0.11579974088931877,0.03542711672746233,0.4156784037534987,1.0
ALL,LowRisk,3.3541932529599348,3.2686752856619954,0.08551796729793937,0.026162882459772892,0.3069779937817653,2.0
ALL,Momentum,3.2971395852536873,3.2686752856619954,0.028464299591691944,0.00870820656813182,0.10217634795525903,3.0
ALL,Quality,3.284783488429183,3.2686752856619954,0.016108202767187496,0.004928052302364182,0.057822512919109684,4.0
ALL,ShortTermReversal,3.2810641584301625,3.2686752856619954,0.012388872768167136,0.003790181552297586,0.0444714885977082,5.0
ALL,LowLeverage,3.2776779015964124,3.2686752856619954,0.00900261593441698,0.0027542093195695658,0.03231607421989868,6.0
ALL,ProfitGrowth,3.272390907653446,3.2686752856619954,0.0037156219914504796,0.0011367363432363596,0.013337713940428984,7.0
ALL,Size,3.2712843539891527,3.2686752856619954,0.002609068327157349,0.0007982035837582264,0.009365593991727265,8.0
ALL,Investment,3.270575453112534,3.2686752856619954,0.0019001674505387811,0.0005813264654564626,0.0068209010368966315,9.0
ALL,Accruals,3.2702874992649447,3.2686752856619954,0.001612213602949275,0.0004932314965702561,0.005787252819712022,10.0
ALL,Seasonality,3.269509482400121,3.2686752856619954,0.0008341967381255699,0.0002552094243759127,0.002994458932786755,11.0
ALL,DebtIssuance,3.26930244140704,3.2686752856619954,0.0006271557450445719,0.0001918684758304329,0.0022512580512087316,12.0
ALL,Profitability,3.2664722566164826,3.2686752856619954,-0.0022030290455128387,-0.0006739822261257945,0.0,13.0
ALL,ALL,3.2686752856619954,3.2686752856619954,0.0,0.0,0.0,
large,LowRisk,3.089592756906884,3.0327589358663696,0.056833821040514376,0.018739973153942296,0.5421652092618031,1.0
large,Quality,3.05145143974186,3.0327589358663696,0.018692503875490374,0.006163531052345405,0.17831680308909567,2.0
large,LowLeverage,3.046709945138855,3.0327589358663696,0.013951009272485493,0.004600104910250673,0.1330854009664172,3.0
large,Momentum,3.0422882817527523,3.0327589358663696,0.009529345886382767,0.003142137600745545,0.0909050229604632,4.0
large,ProfitGrowth,3.0385797513032387,3.0327589358663696,0.005820815436869076,0.0019193135887030997,0.05552756372222082,5.0
large,Accruals,3.0308472591315594,3.0327589358663696,-0.001911676734810186,-0.0006303424621726739,0.0,6.0
large,DebtIssuance,3.0327214171273496,3.0327589358663696,-3.7518739020026004e-05,-1.237115768626299e-05,0.0,7.0
large,Investment,3.0259337612197603,3.0327589358663696,-0.0068251746466092555,-0.0022504837314606756,0.0,8.0
large,Profitability,3.020983060698661,3.0327589358663696,-0.011775875167708616,-0.0038828919201072593,0.0,9.0
large,Seasonality,3.0297763574198653,3.0327589358663696,-0.0029825784465042915,-0.000983453848319882,0.0,10.0
large,ShortTermReversal,3.031665301981763,3.0327589358663696,-0.001093633884606593,-0.0003606069284547913,0.0,11.0
large,Size,3.030909015153068,3.0327589358663696,-0.0018499207133015894,-0.0006099794782314677,0.0,12.0
large,Value,3.0217287795655023,3.0327589358663696,-0.011030156300867233,-0.0036370039736495718,0.0,13.0
large,ALL,3.0327589358663696,3.0327589358663696,0.0,0.0,0.0,
mega,LowRisk,2.897627470742978,2.8005677874856083,0.09705968325736958,0.03465714477295735,0.5741298867966086,1.0
mega,Quality,2.8307156938633424,2.8005677874856083,0.030147906377734124,0.01076492649542376,0.1783316563058021,2.0
mega,LowLeverage,2.8201725330944654,2.8005677874856083,0.019604745608857055,0.007000275335759142,0.11596648576776379,3.0
mega,Momentum,2.8180331310895075,2.8005677874856083,0.017465343603899175,0.006236358099219523,0.10331144106025242,4.0
mega,ProfitGrowth,2.8052094549289395,2.8005677874856083,0.0046416674433311655,0.00165740228252019,0.027456508349823848,5.0
mega,Seasonality,2.8007037115948483,2.8005677874856083,0.0001359241092400154,4.8534482845726834e-05,0.000804021719749169,6.0
mega,Accruals,2.7930275841569,2.8005677874856083,-0.007540203328708195,-0.0026923837953152716,0.0,7.0
mega,DebtIssuance,2.7980078468153775,2.8005677874856083,-0.002559940670230798,-0.0009140791669710488,0.0,8.0
mega,Investment,2.7877304082487844,2.8005677874856083,-0.012837379236823931,-0.004583848780303769,0.0,9.0
mega,Profitability,2.7788264193974204,2.8005677874856083,-0.02174136808818794,-0.007763200085832475,0.0,10.0
mega,ShortTermReversal,2.795730940055358,2.8005677874856083,-0.004836847430250479,-0.001727095288271195,0.0,11.0
mega,Size,2.787632086665663,2.8005677874856083,-0.012935700819945328,-0.00461895651222897,0.0,12.0
mega,Value,2.751592953315516,2.8005677874856083,-0.04897483417009241,-0.017487466073464606,0.0,13.0
mega,ALL,2.8005677874856083,2.8005677874856083,0.0,0.0,0.0,
micro,Value,3.571594036612469,3.3887808219464715,0.18281321466599776,0.053946603298171476,0.47371368632643357,1.0
micro,LowRisk,3.482655126652947,3.3887808219464715,0.09387430470647562,0.027701497865700104,0.2432512497254747,2.0
micro,Momentum,3.4220026082983668,3.3887808219464715,0.03322178635189532,0.00980346268980983,0.08608576195029648,3.0
micro,ShortTermReversal,3.4102974714803045,3.3887808219464715,0.021516649533833032,0.006349377745083599,0.05575489379522286,4.0
micro,Quality,3.40196505394922,3.3887808219464715,0.01318423200274843,0.0038905531798824272,0.03416356500713367,5.0
micro,Investment,3.3970575551806848,3.3887808219464715,0.008276733234213296,0.0024423926093453422,0.02144703717552937,6.0
micro,LowLeverage,3.394795354421724,3.3887808219464715,0.006014532475252743,0.0017748366717320106,0.015585122528409621,7.0
micro,Profitability,3.394747250882035,3.3887808219464715,0.005966428935563428,0.0017606417319537323,0.015460474509100907,8.0
micro,Size,3.394689204928417,3.3887808219464715,0.005908382981945515,0.0017435128715559175,0.015310063267140569,9.0
micro,Accruals,3.3940032015603454,3.3887808219464715,0.005222379613873951,0.0015410791928627252,0.013532461002910091,10.0
micro,ProfitGrowth,3.3931568680570017,3.3887808219464715,0.004376046110530218,0.001291333473734862,0.01133940420193971,11.0
micro,Seasonality,3.3928371309127137,3.3887808219464715,0.004056308966242206,0.0011969817994638896,0.010510887174038376,12.0
micro,DebtIssuance,3.3902648168948306,3.3887808219464715,0.0014839949483591575,0.0004379141131667436,0.003845393336370086,13.0
micro,ALL,3.3887808219464715,3.3887808219464715,0.0,0.0,0.0,
nano,Value,4.012482334858703,3.684072796256098,0.3284095386026049,0.08914306441945116,0.5475130857842281,1.0
nano,LowRisk,3.7977268091884584,3.684072796256098,0.11365401293236044,0.030850099663573476,0.1894800607714859,2.0
nano,Momentum,3.7642488421870794,3.684072796256098,0.08017604593098149,0.021762883190706652,0.13366674579683324,3.0
nano,ShortTermReversal,3.7088846333381786,3.684072796256098,0.02481183708208068,0.006734893270104614,0.041365441279779494,4.0
nano,Size,3.7018770817394806,3.684072796256098,0.017804285483382642,0.004832772441813872,0.029682692307503054,5.0
nano,Quality,3.700521612462424,3.684072796256098,0.0164488162063261,0.004464845597796559,0.027422900555641137,6.0
nano,LowLeverage,3.6918095639863333,3.684072796256098,0.00773676773023535,0.0021000583208067337,0.012898473022437953,7.0
nano,Investment,3.6881917080014675,3.684072796256098,0.004118911745369491,0.0011180321272574456,0.006866907975255331,8.0
nano,Seasonality,3.6875951907432,3.684072796256098,0.0035223944871018986,0.000956114246895853,0.005872414921894771,9.0
nano,Profitability,3.6859001071706414,3.684072796256098,0.0018273109145434674,0.0004960029336012181,0.003046429898979061,10.0
nano,DebtIssuance,3.6849143789874104,3.684072796256098,0.0008415827313124069,0.00022843813840151502,0.001403057780002983,11.0
nano,ProfitGrowth,3.6845417298194527,3.684072796256098,0.00046893356335475644,0.00012728672566712185,0.0007817899059589618,12.0
nano,Accruals,3.6840386496127793,3.684072796256098,-3.4146643318688774e-05,-9.268721115768928e-06,0.0,13.0
nano,ALL,3.684072796256098,3.684072796256098,0.0,0.0,0.0,
small,LowRisk,3.326706667216406,3.2514048152522257,0.07530185196418016,0.023159789765624328,0.3728776766127926,1.0
small,Value,3.3244212979078718,3.2514048152522257,0.07301648265564609,0.022456903032537914,0.3615610465998451,2.0
small,Momentum,3.264702477027636,3.2514048152522257,0.013297661775410141,0.004089820410251986,0.06584700240249476,3.0
small,Quality,3.263696597308738,3.2514048152522257,0.012291782056512268,0.0037804526827456093,0.06086611437980732,4.0
small,ShortTermReversal,3.261661085386001,3.2514048152522257,0.010256270133775391,0.00315441192854965,0.05078672142106831,5.0
small,LowLeverage,3.2572398480454603,3.2514048152522257,0.005835032793234607,0.0017946189800367746,0.02889375777817182,6.0
small,Investment,3.255767919380752,3.2514048152522257,0.004363104128526363,0.0013419135347463333,0.021605101173852732,7.0
small,Accruals,3.255235490108073,3.2514048152522257,0.003830674855847427,0.0011781599257889592,0.018968632282601577,8.0
small,ProfitGrowth,3.2540233911926695,3.2514048152522257,0.0026185759404437903,0.000805367553175828,0.012966593612748066,9.0
small,DebtIssuance,3.2525412473440425,3.2514048152522257,0.001136432091816797,0.0003495203324070365,0.005627353736617712,10.0
small,Profitability,3.2508729410680353,3.2514048152522257,-0.0005318741841904284,-0.00016358288629438736,0.0,11.0
small,Seasonality,3.2494799536429184,3.2514048152522257,-0.0019248616093072712,-0.0005920092140719646,0.0,12.0
small,Size,3.2512533168773015,3.2514048152522257,-0.00015149837492423046,-4.659474397452969e-05,0.0,13.0
small,ALL,3.2514048152522257,3.2514048152522257,0.0,0.0,0.0,
